IMG_ID	Domain	Genome_Status	Sequencing_Center	Phylum	Class	Order	Family	Genus	Species	Gram_Staining	Isolation_Country	Oxygen_Requirement	Genome_Size	Gene_Count	GC_Count	GC_%	CDS_Count	CDS_%	RNA_%	16S_rRNA_Count 	Horizontally_Transferred_Count	Horizontally_Transferred_%
2518285533	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	sp.	Gram-	-1	-1	2814898	2707	1899614	0.68	2650	97.89	2.11	1	58	2.14
646311968	Bacteria	Finished	DOE Joint Genome Institute	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae	Xylanimonas	cellulosilytica	Gram+	Spain	Aerobe	3831380	3549	2775913	0.72	3485	98.2	1.8	3	120	3.38
2264867114	Bacteria	Permanent Draft	DOE Joint Genome Institute	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	-1	USA	-1	919075	820	338509	0.37	807	98.41	1.59	1	-1	-1
2541047841	Bacteria	Draft	Broad Institute	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Gram-	-1	-1	5413892	5265	2745985	0.51	5159	97.99	2.01	8	3	0.06
651324063	Bacteria	Draft	J. Craig Venter Institute	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	iners	Gram+	-1	Facultative	1257583	1242	409392	0.33	1186	95.49	4.51	1	12	0.97
649989998	Bacteria	Draft	Institute for Genome Sciences	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	dysenteriae	Gram-	-1	Facultative	4613557	5958	2361630	0.51	5847	98.14	1.86	7	2	0.03
2541047365	Bacteria	Draft	"Institute for Genome Sciences, University of Maryland School of Medicine"	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium	sp.	Gram+	-1	Anaerobe	4068402	3806	1148333	0.28	3780	99.32	0.68	-1	4	0.11
2529292886	Bacteria	Draft	Institute for Genome Sciences	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Gram-	USA	-1	5297471	5673	2665288	0.5	5580	98.36	1.64	1	5	0.09
2524023160	Bacteria	Permanent Draft	DOE Joint Genome Institute	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Desulfovirgula	thermocuniculi	Gram+	Japan	Anaerobe	3060447	3354	1875049	0.61	3271	97.53	2.47	2	2198	65.53
2515154077	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	benevestitus	Gram-	Russia	Aerobe	4987073	4633	2913196	0.58	4572	98.68	1.32	1	820	17.7
642979370	Bacteria	Draft	Washington University in St. Louis	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	dorei	Gram-	-1	Anaerobe	5487768	5036	2304077	0.42	4966	98.61	1.39	1	97	1.93
2513237367	Bacteria	Draft	Broad Institute	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	sp.	Gram+	-1	Anaerobe	5432458	5068	2614044	0.48	4994	98.54	1.46	1	-1	-1
644736410	Bacteria	Finished	J. Craig Venter Institute	Proteobacteria	Gammaproteobacteria	Alteromonadales	unclassified	Teredinibacter	turnerae	Gram-	USA	-1	5193164	4308	2642835	0.51	4254	98.75	1.25	3	1457	33.82
644736387	Bacteria	Finished	Genoscope	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	extorquens	Gram-	Switzerland	Aerobe	6123851	5829	4164002	0.68	5741	98.49	1.51	5	228	3.91
649989929	Bacteria	Draft	Univ Federal Rio de Janeiro	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia	cinnamea	Gram+	Brazil	Aerobe	3555295	3593	2522844	0.71	3538	98.47	1.53	3	97	2.7
640963042	Bacteria	Draft	West Penn Allegheny Health System	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	pneumoniae	Gram+	USA	Facultative	2032681	2423	808167	0.4	2378	98.14	1.86	2	5	0.21
2547132412	Bacteria	Draft	Univ of Illinois at Urbana-Champaign	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	flavefaciens	Gram+	-1	-1	3454940	3534	1552148	0.45	3477	98.39	1.61	1	90	2.55
2551306195	Bacteria	Draft	Centers for Disease Control and Prevention	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	enterica	Gram-	USA	-1	4822339	4886	2512481	0.52	4705	96.3	3.7	1	4	0.08
2551306505	Bacteria	Draft	Northern Arizona University	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	anthracis	Gram+	Bulgaria	-1	5002686	5359	1772452	0.35	5208	97.18	2.82	11	-1	-1
2506210010	Bacteria	Draft	Swedish Defence Research Agency	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	tularensis	-1	Canada	-1	1889152	2088	612038	0.32	2026	97.03	2.97	5	-1	-1
649633002	Bacteria	Finished	DOE Joint Genome Institute	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	tundricola	Gram-	-1	Aerobe	5503984	4757	3301098	0.6	4705	98.91	1.09	1	785	16.5
2541047534	Bacteria	Draft	Institute for Genome Sciences	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	parahaemolyticus	Gram-	-1	-1	5123959	4862	2326404	0.45	4686	96.38	3.62	14	-1	-1
2537561793	Bacteria	Draft	J. Craig Venter Institute	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	agalactiae	Gram+	-1	Facultative	2135377	2178	754632	0.35	2142	98.35	1.65	5	-1	-1
2519899752	Bacteria	Draft	The Australian Wine Research Institute	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Oenococcus	oeni	Gram+	-1	-1	1793208	1780	677932	0.38	1780	100	-1	-1	6	0.34
2500069000	Bacteria	Finished	DOE Joint Genome Institute	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	reuteri	Gram+	-1	Facultative	2301232	2375	891185	0.39	2269	95.54	4.46	6	71	2.99
2519103091	Bacteria	Draft	Washington University in St. Louis	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis	Gram+	-1	-1	3058007	3171	1142217	0.37	3128	98.64	1.36	1	7	0.22
2519103150	Bacteria	Draft	Broad Institute	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cereus	Gram+	-1	-1	6048642	6207	2118753	0.35	6114	98.5	1.5	2	31	0.5
2506520046	Bacteria	Finished	DOE Joint Genome Institute	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Aquiflexum	balticum	Gram-	-1	Aerobe	5987095	5121	2358229	0.39	5052	98.65	1.35	4	410	8.01
643692028	Bacteria	Finished	Agencourt Bioscience	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	bovis	Gram+	-1	Aerobe	4371711	3996	2869723	0.66	3947	98.77	1.23	1	-1	-1
2537562121	Bacteria	Draft	Sycou	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	equicursoris	Gram+	Japan	-1	2154766	1938	1028981	0.48	1935	99.85	0.15	-1	36	1.86
2529292775	Bacteria	Draft	Bielefeld University	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	meningitidis	Gram-	-1	Aerobe	2180231	2122	1128678	0.52	2069	97.5	2.5	1	8	0.38
2541047065	Bacteria	Draft	J. Craig Venter Institute	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	pneumoniae	Gram-	USA	-1	5421295	5563	3103626	0.57	5472	98.36	1.64	1	-1	-1
2518645550	Bacteria	Finished	Seoul National University College of Medicine	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	sp.	Gram+	South Korea	-1	5613626	5177	3812378	0.68	5128	99.05	0.95	1	10	0.19
2500715660	Bacteria	Draft	Fundacion Ciencia para la Vida	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	ferrooxidans	-1	-1	-1	2841389	3000	1672294	0.59	2948	98.27	1.73	2	94	3.13
649989948	Bacteria	Draft	Washington University in St. Louis	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Gram-	-1	Facultative	5115051	5641	2596465	0.51	5493	97.38	2.62	2	12	0.21
2522125104	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	sp.	Gram-	-1	-1	2287875	2037	872623	0.38	2018	99.07	0.93	-1	248	12.17
2531839654	Bacteria	Draft	Univie	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	gracilis	Gram-	-1	-1	3067213	3125	1724099	0.56	3071	98.27	1.73	1	39	1.25
651053066	Bacteria	Finished	DOE Joint Genome Institute	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	baltica	Gram-	-1	Facultative	5526018	4985	2543603	0.46	4856	97.41	2.59	10	71	1.42
2511231052	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	meliloti	Gram-	Kazakhstan	Aerobe	6974333	7013	4315694	0.62	6934	98.87	1.13	1	-1	-1
2524023216	Bacteria	Finished	Univ of Tokyo	Cyanobacteria	unclassified	Chroococcales	unclassified	Synechocystis	sp.	Gram-	-1	-1	3570114	3218	1704201	0.48	3169	98.48	1.52	2	2	0.06
2534681721	Bacteria	Draft	Institute for Genome Sciences	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	pestis	Gram-	-1	Facultative	4498491	4630	2135727	0.47	4565	98.6	1.4	1	1	0.02
2537562011	Bacteria	Draft	Broad Institute	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	pittii	Gram-	-1	-1	3950554	3773	1534392	0.39	3699	98.04	1.96	2	15	0.4
2521172590	Bacteria	Draft	Chonbuk National University	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	sp.	Gram-	South Korea	-1	5047645	4717	3152667	0.62	4655	98.69	1.31	2	130	2.76
2519899804	Bacteria	Draft	Institute for Genome Sciences	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	pylori	Gram-	Canada	-1	1632757	1670	636110	0.39	1626	97.37	2.63	-1	4	0.24
640427111	Bacteria	Finished	DOE Joint Genome Institute	Chloroflexi	Dehalococcoidetes	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	mccartyi	Gram-	USA	Anaerobe	1341892	1443	633005	0.47	1385	95.98	4.02	1	38	2.63
2512564043	Bacteria	Finished	Los Alamos National Lab	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	philipii	Gram-	-1	-1	1287740	1380	418113	0.32	1344	97.39	2.61	1	-1	-1
640069307	Bacteria	Finished	DOE Joint Genome Institute	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	vietnamiensis	Gram-	USA	Facultative	8391070	7880	5516126	0.66	7775	98.67	1.33	6	702	8.91
2545824528	Bacteria	Finished	National Institute of Technology and Evaluation	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	resinovorans	Gram-	-1	-1	6285863	5738	4120667	0.66	5652	98.5	1.5	5	218	3.8
643886084	Bacteria	Draft	Baylor College of Medicine	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	pseudogenitalium	Gram+	-1	-1	2587776	2660	1542463	0.6	2607	98.01	1.99	1	146	5.49
2512875033	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	paradoxus	Gram-	-1	Facultative	3363525	3233	2239859	0.67	3185	98.52	1.48	1	-1	-1
2541047327	Bacteria	Draft	"Institute for Genome Sciences, University of Maryland School of Medicine"	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium	sp.	Gram+	-1	Anaerobe	3722131	3449	1050244	0.28	3433	99.54	0.46	-1	6	0.17
2505313030	Bacteria	Draft	Virgina Tech	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	syringae	-1	-1	-1	6121804	5743	3584667	0.59	5664	98.62	1.38	1	87	1.51
2503754001	Bacteria	Draft	-1	Proteobacteria	Alphaproteobacteria	Rickettsiales	unclassified	Candidatus Pelagibacter-like	SAR11	-1	-1	-1	1382291	1489	400217	0.29	1453	97.58	2.42	1	179	12.02
644736367	Bacteria	Finished	Washington University in St. Louis	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	rectale	Gram+	-1	Anaerobe	3449685	3693	1430970	0.41	3621	98.05	1.95	5	208	5.63
2541047088	Bacteria	Draft	Weizmann Institute of Science	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	sp.	-1	-1	-1	4400934	4016	1634207	0.37	3959	98.58	1.42	1	96	2.39
2521172636	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	niastensis	Gram-	South Korea	Aerobe	6594487	5887	4367288	0.66	5792	98.39	1.61	1	454	7.71
2521172627	Bacteria	Permanent Draft	DOE Joint Genome Institute	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	sp.	Gram+	-1	-1	4374223	4485	1575336	0.36	4381	97.68	2.32	9	71	1.58
650716078	Bacteria	Finished	Tianjin Biochip Corporation	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas	sp.	Gram-	China	-1	3924810	3826	2233631	0.57	3773	98.61	1.39	2	584	15.26
650377952	Bacteria	Finished	Washington University in St. Louis	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	pylori	Gram-	-1	Aerobe	1679829	1614	645470	0.38	1572	97.4	2.6	2	4	0.25
2503283005	Bacteria	Draft	UC Santa Cruz	Cyanobacteria	unclassified	Chroococcales	unclassified	Crocosphaera	watsonii	-1	Pacific Ocean	Aerobe	5461113	5774	2059331	0.38	5711	98.91	1.09	1	303	5.25
2513237290	Bacteria	Draft	Institute of Microbial Technology (IMTECH)	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	imtechensis	Gram+	India	Aerobe	8231340	7733	5533181	0.67	7681	99.33	0.67	-1	-1	-1
2531839037	Bacteria	Draft	National Environmental Engineering Research Institute (NEERI)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	putida	Gram-	India	Aerobe	6469780	5900	4085143	0.63	5836	98.92	1.08	1	193	3.27
2511231061	Bacteria	Finished	CNRS	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	slovaca	Gram-	Slovakia	Aerobe	1275089	1322	414420	0.33	1284	97.13	2.87	1	-1	-1
648028056	Bacteria	Finished	"Istituto di Teconologie Biomediche, University of Siena"	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	pneumoniae	Gram+	Italy	Facultative	2130580	2284	841851	0.4	2216	97.02	2.98	4	11	0.48
2501846301	Bacteria	Draft	Univ of Florida	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	sp.	-1	-1	-1	5531090	5004	3543527	0.64	4928	98.48	1.52	2	10	0.2
2529292813	Bacteria	Draft	"Univ of California, Irvine"	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Borrelia	burgdorferi	Gram-	USA	Microaerophilic	903130	867	257641	0.29	832	95.96	4.04	1	-1	-1
647533132	Bacteria	Draft	Broad Institute	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis	Gram+	USA	Facultative	3220345	3123	1173495	0.37	3067	98.21	1.79	1	28	0.9
2510065003	Bacteria	Draft	Yale University	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Arsenophonus	triatominarum	Gram-	United Kingdom	-1	2619384	2431	851001	0.37	2371	97.53	2.47	1	123	5.06
2264867013	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Zetaproteobacteria	Hymenoptera	Vespidae	unclassified	unclassified	Gram-	-1	-1	1091316	1247	509696	0.47	1222	98	2	1	-1	-1
643692018	Bacteria	Finished	Bielefeld University	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	aurimucosum	Gram+	USA	Anaerobe	2819226	2617	1707290	0.61	2551	97.48	2.52	4	4	0.15
2506783025	Bacteria	Draft	University of North Carolina at Chapel Hill	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	viridiflava	Gram-	France	Aerobe	6006543	5590	3555362	0.59	5528	98.89	1.11	1	169	3.02
2531839343	Bacteria	Draft	J. Craig Venter Institute	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	epidermidis	Gram+	-1	Facultative	2524140	2516	850195	0.34	2450	97.38	2.62	1	5	0.2
2529292896	Bacteria	Draft	Broad Institute	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	abortus	Gram-	-1	-1	3286991	3193	1880863	0.57	3129	98	2	3	1	0.03
2519899610	Bacteria	Draft	University of Melbourne	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	enterica	Gram-	Australia	-1	4896785	4906	2554046	0.52	4834	98.53	1.47	-1	-1	-1
2541047397	Bacteria	Draft	"Institute for Genome Sciences, University of Maryland School of Medicine"	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium	sp.	Gram+	-1	Anaerobe	4182139	3890	1200266	0.29	3861	99.25	0.75	-1	6	0.15
2531839099	Bacteria	Draft	Institute for Genome Sciences	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Gram-	USA	-1	5343555	5766	2685619	0.5	5671	98.35	1.65	1	6	0.1
2510065071	Bacteria	Draft	Univ of Sao Paulo	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	fastidiosa	-1	-1	Aerobe	64251	67	33600	0.52	67	100	-1	-1	43	64.18
2540341159	Bacteria	Finished	Broad Institute	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	casseliflavus	Gram+	-1	Facultative	3427276	3189	1468534	0.43	3114	97.65	2.35	5	-1	-1
2515154058	Bacteria	Draft	Iowa State Univ	unclassified	unclassified	unclassified	unclassified	Bacteroides	xylanisolvens	Gram-	USA	Anaerobe	5929022	4913	2479360	0.42	4820	98.11	1.89	6	-1	-1
2534682185	Bacteria	Draft	Washington University in St. Louis	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	pylori	Gram-	-1	-1	1637940	1715	643320	0.39	1674	97.61	2.39	1	3	0.17
2264867147	Bacteria	Permanent Draft	DOE Joint Genome Institute	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	-1	USA	-1	211711	236	83428	0.39	233	98.73	1.27	-1	-1	-1
2534681759	Bacteria	Draft	Institute for Genome Sciences	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Gram-	Brazil	-1	5165757	5247	2613874	0.51	5148	98.11	1.89	4	7	0.13
2513237082	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	mimosarum	Gram-	French Guiana	Aerobe	8640282	8145	5521317	0.64	8062	98.98	1.02	2	-1	-1
2521172643	Bacteria	Permanent Draft	DOE Joint Genome Institute	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	canus	Gram+	-1	-1	10479972	9710	7369912	0.7	9620	99.07	0.93	2	111	1.14
645058713	Bacteria	Draft	Broad Institute	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	gonorrhoeae	Gram-	-1	Aerobe	2099891	2281	1101885	0.52	2232	97.85	2.15	1	6	0.26
2510065080	Bacteria	Draft	Univ of Sao Paulo	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	fastidiosa	-1	-1	Aerobe	39580	57	19610	0.5	57	100	-1	-1	2	3.51
2537561556	Bacteria	Draft	Broad Institute	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	johnsonii	Gram-	-1	-1	3582699	3590	1485051	0.41	3488	97.16	2.84	7	38	1.06
643692007	Bacteria	Finished	J. Craig Venter Institute	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cereus	Gram+	USA	Facultative	5449308	5767	1925384	0.35	5621	97.47	2.53	14	31	0.54
2521172624	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	sp.	Gram-	-1	-1	4799379	4530	2866839	0.6	4467	98.61	1.39	1	46	1.02
644736337	Bacteria	Finished	Univ of Arizona	Bacteroidetes	Flavobacteriia	Flavobacteriales	unclassified	Candidatus Sulcia	muelleri	Gram-	USA	-1	276984	276	62585	0.23	244	88.41	11.59	1	-1	-1
637000131	Bacteria	Finished	MWG-Biotech	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	hepaticus	Gram-	USA	Aerobe	1799146	1919	646456	0.36	1875	97.71	2.29	1	128	6.67
2551306045	Bacteria	Draft	Broad Institute	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	genomosp. F6	Gram-	USA	-1	4238761	3915	1791857	0.42	3852	98.39	1.61	1	115	2.94
2516653048	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	genosp. SA-4	Gram-	-1	Aerobe	9826880	9456	6245057	0.64	9373	99.12	0.88	1	-1	-1
2541047919	Bacteria	Draft	Broad Institute	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Gram-	-1	-1	5006922	4678	2532444	0.51	4569	97.67	2.33	9	1	0.02
2529293230	Bacteria	Draft	J. Craig Venter Institute	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	agalactiae	Gram+	-1	Facultative	2073028	2102	729309	0.35	2056	97.81	2.19	3	1	0.05
2519899735	Bacteria	Draft	Zhejiang University	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	baumannii	Gram-	China	-1	3937258	3814	1533933	0.39	3750	98.32	1.68	3	4	0.1
2531839030	Bacteria	Draft	Institute for Genome Sciences	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Gram-	USA	-1	5460136	5980	2740149	0.5	5879	98.31	1.69	1	6	0.1
2516653085	Bacteria	Permanent Draft	DOE Joint Genome Institute	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	leguminosarum	Gram-	United Kingdom	Aerobe	7346596	7193	4460987	0.61	7109	98.83	1.17	3	-1	-1
644736356	Bacteria	Finished	DOE Joint Genome Institute	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	fermentans	Gram-	USA	Aerobe	6967790	5854	3591547	0.52	5804	99.15	0.85	4	369	6.3
2531839068	Bacteria	Draft	Univ of Pittsburgh School of Medicine	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	meningitidis	Gram-	USA	Aerobe	2017695	1967	1048364	0.52	1914	97.31	2.69	1	1	0.05
2523231079	Bacteria	Permanent Draft	Goettingen Genomics Laboratory	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	sp.	Gram-	Germany	-1	7114674	6100	4568951	0.64	5996	98.3	1.7	7	445	7.3
2513237247	Bacteria	Finished	Sanger Institute	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	trachomatis	Gram-	-1	-1	1042736	936	430759	0.41	889	94.98	5.02	1	-1	-1
2541047278	Bacteria	Draft	"Institute for Genome Sciences, University of Maryland School of Medicine"	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium	sp.	Gram+	-1	Anaerobe	4061463	3857	1155949	0.28	3822	99.09	0.91	1	4	0.1
