IMG_ID,Genome_Status,Genome_Name,Domain,Phylum,Class,Order,Family,Genus,Species,Habitat,Isolation_Country,Genome_Size,Gene_Count,GC_Count,GC_%,w/_Func_Pred_Count,w/_Func_Pred_%,Horizontally_Transferred_Count,Horizontally_Transferred_%,Diseases,Gram_Staining
637000013,Finished,Bacillus_anthracis_Ames_Ancestor_A2084,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,anthracis,"Host, Soil",-1,5503926,5853,1939746,0.35,3201,54.69,1,0.02,Anthrax,Gram+
637000014,Finished,Bacillus_anthracis_Ames,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,anthracis,Soil,-1,5227293,5545,1849251,0.35,3134,56.52,-1,-1,None,Gram+
637000015,Finished,Bacillus_anthracis_Sterne,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,anthracis,Soil,United Kingdom,5228663,5521,1849872,0.35,3372,61.08,-1,-1,None,Gram+
637000016,Finished,Bacillus_cereus_ATCC_10987,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus,"Host, Soil, Dairy isolates",Canada,5432652,6126,1928276,0.35,3403,55.55,130,2.12,Food poisoning,Gram+
637000017,Finished,Bacillus_cereus_ATCC_14579,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus,"Soil, Host",-1,5427083,5513,1915128,0.35,3701,67.13,32,0.58,Food poisoning,Gram+
637000018,Finished,Bacillus_cereus_E33L_(ZK),Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus,"Host, Soil",-1,5843235,5886,2052565,0.35,4113,69.88,39,0.66,Food poisoning,Gram+
637000019,Finished,Bacillus_clausii_KSM-K16,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,clausii,Soil,-1,4303871,4261,1926125,0.45,2781,65.27,298,6.99,None,Gram+
637000020,Finished,Bacillus_halodurans_C-125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,halodurans,"Fresh water, Soil",-1,4202352,4239,1835819,0.44,2175,51.31,177,4.18,None,Gram+
637000023,Finished,Bacillus_thuringiensis_sv_konkukian_97-27,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,thuringiensis,"Soil, Host",-1,5314794,5452,1879589,0.35,3360,61.63,13,0.24,Sotto disease,Gram+
637000024,Finished,Bacteroides_fragilis_NCTC_9343,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,"Host, Intestinal microflora",-1,5241700,4403,2259916,0.43,2463,55.94,69,1.57,"Diarrhea, Abscesses",Gram-
637000025,Finished,Bacteroides_fragilis_YCH46,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,"Host, Intestinal microflora",Japan,5310990,4730,2294576,0.43,2423,51.23,68,1.44,"Abscesses, Diarrhea",Gram-
637000026,Finished,Bacteroides_thetaiotaomicron_VPI-5482,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,"Intestinal microflora, Host, Feces, Gastrointestinal tract",-1,6293399,4917,2697369,0.43,2772,56.38,66,1.34,Peritonitis,Gram-
637000027,Finished,Bartonella_henselae_Houston-1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,henselae,Host,USA,1931047,1671,738246,0.38,961,57.51,50,2.99,Bacillary angiomatosis,Gram-
637000028,Finished,Bartonella_quintana_Toulouse,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,quintana,"Gut of the body louse, Host",-1,1581384,1359,613527,0.39,816,60.04,59,4.34,"Trench fever, Bacillary angiomatosis, Endocarditis",Gram-
637000029,Finished,Baumannia_cicadellinicola_Hc,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,Baumannia,cicadellinicola,"Insect endosymbiont, Host, Endosymbiont",USA,686194,655,228055,0.33,563,85.95,3,0.46,None,Gram-
637000030,Finished,Bdellovibrio_bacteriovorus_HD100,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,bacteriovorus,"Soil, Fresh water",USA,3782950,3636,1915894,0.51,1494,41.09,2635,72.47,Cell lysis,Gram-
637000031,Finished,Bifidobacterium_longum_NCC2705,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,longum,"Intestinal microflora, Feces, Gastrointestinal tract, Host",-1,2260266,1805,1359038,0.6,1018,56.4,54,2.99,None,Gram+
637000032,Finished,Bordetella_bronchiseptica_RB50,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,bronchiseptica,Host,-1,5339179,5086,3634754,0.68,3244,63.78,166,3.26,Respiratory infection,Gram-
637000033,Finished,Bordetella_parapertussis_12822,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,parapertussis,Host,Germany,4773551,4447,3250786,0.68,2836,63.77,33,0.74,Respiratory infection,Gram-
637000034,Finished,Bordetella_pertussis_Tohama_I,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,pertussis,Host,-1,4086189,3833,2767191,0.68,2460,64.18,46,1.2,Respiratory infection,Gram-
637000036,Finished,Borrelia_burgdorferi_B31,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Borrelia,burgdorferi,Host,-1,1519856,1690,428126,0.28,651,38.52,8,0.47,Lyme disease,Gram-
637000038,Finished,Bradyrhizobium_japonicum_USDA_110,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,japonicum,"Root nodule, Host",USA,9105828,8402,5833137,0.64,4294,51.11,669,7.96,None,Gram-
637000039,Finished,"Brucella_abortus_bv_1,_9-941",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,abortus,Host,USA,3286445,3360,1880482,0.57,1744,51.9,8,0.24,Brucellosis,Gram-
637000040,Finished,"Brucella_melitensis_bv_1,_16M",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,melitensis,Host,-1,3294931,3279,1885435,0.57,2475,75.48,7,0.21,Brucellosis,Gram-
637000041,Finished,Brucella_melitensis_bv._1_Abortus_2308,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,melitensis,Host,-1,3278307,3117,1875908,0.57,2192,70.32,-1,-1,Brucellosis,Gram-
637000042,Finished,"Brucella_suis_bv_1,_1330",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,suis,Host,-1,3315175,3408,1897981,0.57,2098,61.56,4,0.12,"Brucellosis, Infectious abortions, Fever",Gram-
637000043,Finished,Buchnera_aphidicola_APS,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buchnera,aphidicola,"Endosymbiont, Host, Insect endosymbiont",-1,655725,615,172881,0.26,487,79.19,-1,-1,None,Gram-
637000045,Finished,Buchnera_aphidicola_Sg,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buchnera,aphidicola,"Insect endosymbiont, Endosymbiont, Host",-1,641454,588,162484,0.25,463,78.74,2,0.34,None,Gram-
637000046,Finished,Burkholderia_cenocepacia_AU_1054,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,cenocepacia,Host,-1,7279116,6637,4871559,0.67,5015,75.56,13,0.2,"Pneumonia, Chronic infection",Gram-
637000047,Finished,Burkholderia_cepacia_AMMD,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,cepacia,"Rhizosphere, Rhizosphere-colonizing, Host",USA,7528567,6738,5027188,0.67,5094,75.6,130,1.93,None,Gram-
637000048,Finished,Burkholderia_mallei_ATCC_23344,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,mallei,"Host, Soil",Burma,5835527,5500,3996491,0.68,3443,62.6,50,0.91,"Glanders, Pneumonia",Gram-
637000049,Finished,Burkholderia_pseudomallei_1710b,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei,"Terrestrial, Soil, Host",-1,7308054,6436,4967880,0.68,4350,67.59,71,1.1,"Bacteremia, Pneumonia, Melioidosis",Gram-
637000050,Finished,Burkholderia_pseudomallei_K96243,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei,"Soil, Host",Thailand,7247547,5942,4932588,0.68,3728,62.74,14,0.24,Melioidosis,Gram-
637000051,Finished,Burkholderia_cepacia_383,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,cepacia,"Soil, Host, Rhizosphere",-1,8676277,7828,5749981,0.66,5649,72.16,388,4.96,"Necrotizing Pneumonia, Chronic infection",Gram-
637000052,Finished,Burkholderia_thailandensis_E264,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,thailandensis,"Terrestrial, Soil",Thailand,6723972,5727,4547296,0.68,4297,75.03,27,0.47,None,Gram-
637000053,Finished,Burkholderia_xenovorans_LB400,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,xenovorans,"Soil, Host",USA,9731138,9059,6094399,0.63,6094,67.27,812,8.96,Opportunistic infection,Gram-
637000054,Finished,Campylobacter_jejuni_RM1221,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,jejuni,"Wastewater, Host",USA,1777831,1938,538792,0.3,1235,63.73,21,1.08,"Diarrhea, Food poisoning",Gram-
637000055,Finished,Campylobacter_jejuni_jejuni_NCTC_11168,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,jejuni,"Host, Wastewater",-1,1641481,1705,501449,0.31,1279,75.01,-1,-1,"Diarrhea, Food poisoning",Gram-
637000056,Finished,Candidatus_Blochmannia_floridanus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Candidatus Blochmannia,floridanus,"Insect endosymbiont, Host, Bacteriocytes, Endosymbiont",-1,705557,632,193204,0.27,548,86.71,-1,-1,None,Gram-
637000057,Finished,Candidatus_Blochmannia_pennsylvanicus_BPEN,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Candidatus Blochmannia,pennsylvanicus,"Endosymbiont, Host, Insect endosymbiont",USA,791654,660,234050,0.3,584,88.48,1,0.15,None,Gram-
637000058,Finished,Candidatus_Pelagibacter_ubique_SAR11_HTCC1062,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,Candidatus Pelagibacter,ubique,"Marine, Aquatic",USA,1308759,1394,388480,0.3,1146,82.21,39,2.8,None,Gram-
637000059,Finished,Candidatus_Protochlamydia_amoebophila_UWE25,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,amoebophila,Host,-1,2414465,2079,838236,0.35,785,37.76,416,20.01,Pneumonia,Gram-
637000060,Finished,"Carboxydothermus_hydrogenoformans_Z-2901,_DSM_6008",Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,hydrogenoformans,Fresh water,Russia,2401520,2738,1009832,0.42,1766,64.5,173,6.32,None,Gram+
637000061,Finished,Caulobacter_crescentus_CB15,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,crescentus,"Marine, Aquatic, Fresh water, Ponds, Soil",USA,4016947,3812,2699950,0.67,2192,57.5,93,2.44,None,Gram-
637000062,Finished,Chlamydia_muridarum_MoPn_/_Nigg,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,muridarum,Host,-1,1080451,957,435470,0.4,569,59.46,8,0.84,"Respiratory infection, Bronchitis, Pneumonia, Pharyngitis",Gram-
637000063,Finished,Chlamydia_trachomatis_A/HAR-13,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,trachomatis,Host,Saudi Arabia,1051969,965,434113,0.41,669,69.33,1,0.1,"Bronchitis, Pneumonia, Pharyngitis",Gram-
637000064,Finished,Chlamydia_trachomatis_D/UW-3/CX_(sv_D),Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,trachomatis,Host,-1,1042519,941,430636,0.41,611,64.93,-1,-1,"Pneumonia, Trachoma, Venereal disease, Pharyngitis, Heart disease, Bronchitis, Respiratory infection",Gram-
637000065,Finished,Chlamydophila_abortus_S26/3,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,abortus,Host,United Kingdom,1144377,999,456222,0.4,647,64.76,2,0.2,"Pneumonia, Pharyngitis, Bronchitis, Respiratory infection",Gram-
637000066,Finished,Chlamydophila_caviae_GPIC,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,caviae,Host,-1,1181356,1050,462922,0.39,621,59.14,9,0.86,"Pneumonia, Respiratory infection, Pharyngitis, Bronchitis",Gram-
637000067,Finished,Chlamydophila_felis_Fe/C-56,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,felis,Host,Japan,1173791,1057,461772,0.39,685,64.81,15,1.42,"Respiratory infection, Bronchitis, Pneumonia, Pharyngitis, Rhinitis",Gram-
637000068,Finished,Chlamydophila_pneumoniae_AR39,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,pneumoniae,Host,USA,1229853,1156,498983,0.41,578,50,7,0.61,"Pneumonia, Bronchitis, Multiple sclerosis, Asthma, Respiratory infection, Heart disease, Pharyngitis",Gram-
637000069,Finished,Chlamydophila_pneumoniae_CWL029,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,pneumoniae,Host,-1,1230230,1096,499199,0.41,627,57.21,-1,-1,"Pneumonia, Pharyngitis, Heart disease, Respiratory infection, Bronchitis",Gram-
637000070,Finished,Chlamydophila_pneumoniae_J138,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,pneumoniae,"Pharyngeal mucosa, Host",Japan,1226565,1113,497758,0.41,636,57.14,1,0.09,"Pharyngitis, Multiple sclerosis, Bronchitis, Respiratory infection, Pneumonia, Asthma, Heart disease",Gram-
637000071,Finished,Chlamydophila_pneumoniae_TW-183,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,pneumoniae,Host,Taiwan,1225935,1157,497438,0.41,671,57.99,14,1.21,"Heart disease, Bronchitis, Respiratory infection, Pharyngitis, Pneumonia",Gram-
637000072,Finished,Chlorobium_chlorochromatii_CaD3,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,chlorochromatii,"Aquatic, Fresh water",Germany,2572079,2100,1138870,0.44,1311,62.43,295,14.05,None,Gram-
637000073,Finished,Chlorobium_tepidum_TLS,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,tepidum,"Aquatic, Fresh water, Hot spring",New Zealand,2154946,2317,1218183,0.57,1292,55.76,193,8.33,None,Gram-
637000074,Finished,Chromobacterium_violaceum_ATCC_12472,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chromobacterium,violaceum,"Fresh water, Soil, Host, Aquatic",-1,4751080,4550,3080303,0.65,2687,59.05,1921,42.22,"Septicemia, Diarrhea",Gram-
637000075,Finished,"Chromohalobacter_salexigens_1H11,_DSM_3043",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,salexigens,"Solar saltern, Fresh water",Netherlands,3696649,3412,2362597,0.64,2621,76.82,897,26.29,None,Gram-
637000076,Finished,Clostridium_acetobutylicum_ATCC_824,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,acetobutylicum,Soil,USA,4132880,4022,1278098,0.31,3101,77.1,1,0.02,None,Gram+
637000077,Finished,Clostridium_perfringens_ATCC_13124,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,perfringens,"Soil, Host",Germany,3256683,3066,924219,0.28,2022,65.95,27,0.88,"Food poisoning, Enterocolitis, Dysenteria, Gas gangrene, Enterotoxemia",Gram+
637000079,Finished,Clostridium_perfringens_13,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,perfringens,"Soil, Host",-1,3085740,2905,879807,0.29,1521,52.36,31,1.07,"Necrotizing enterocolitis, Gas gangrene, Food poisoning, Enteritis necroticans",Gram+
637000080,Finished,Clostridium_tetani_Massachusetts_E88,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,tetani,Host,-1,2873333,2565,822936,0.29,1851,72.16,166,6.47,Tetanus,Gram+
637000081,Finished,Colwellia_psychrerythraea_34H,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,psychrerythraea,Sediment,-1,5373180,5066,2042100,0.38,3070,60.6,1135,22.4,None,Gram-
637000082,Finished,Corynebacterium_diphtheriae_gravis_NCTC_13129,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,diphtheriae,Host,United Kingdom,2488635,2395,1330885,0.53,1383,57.75,81,3.38,"Respiratory infection, Diphtheria",Gram+
637000085,Finished,Corynebacterium_jeikeium_K411,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,jeikeium,"Host, Human skin",-1,2476822,2186,1519564,0.61,1287,58.87,4,0.18,"Nosocomial infection, Meningitis, Septicemia, Endocarditis",Gram+
637000086,Finished,Coxiella_burnetii_Nine_Mile_phase_I_/_RSA_493,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,burnetii,"Soil, Host",-1,2032674,2175,865896,0.43,1138,52.32,9,0.41,"Q fever, Food poisoning",Gram-
637000087,Finished,Cytophaga_hutchinsonii_ATCC_33406,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,hutchinsonii,"Fresh water, Marine, Soil, Aquatic",Korea,4433218,3843,1722148,0.39,1986,51.68,1314,34.19,None,Gram-
637000088,Finished,Dechloromonas_aromatica_RCB,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas,aromatica,"Fresh water, Aquatic",USA,4501104,4302,2666779,0.59,2967,68.97,1099,25.55,None,Gram-
637000089,Finished,Dehalococcoides_ethenogenes_195,Bacteria,Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,ethenogenes,"Fresh water, Groundwater",-1,1469720,1647,717962,0.49,1070,64.97,124,7.53,None,Gram-
637000090,Finished,Dehalococcoides_mccartyi_CBDB1,Bacteria,Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,mccartyi,"Aquatic, Groundwater, Fresh water, Sediment",-1,1395502,1517,656247,0.47,1026,67.63,36,2.37,None,Gram-
637000092,Finished,Deinococcus_radiodurans_ATCC_BAA-816,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,radiodurans,Soil,-1,3284156,3249,2187656,0.67,1676,51.59,710,21.85,None,Gram-
637000093,Finished,Desulfitobacterium_hafniense_Y51,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,hafniense,Soil,Japan,5727534,5208,2712554,0.47,451,8.66,240,4.61,None,Gram+
637000094,Finished,Desulfotalea_psychrophila_LSv54,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,psychrophila,"Sediment, Marine",-1,3659634,3332,1706546,0.47,1739,52.19,1437,43.13,None,Gram-
637000095,Finished,Desulfovibrio_alaskensis_G20,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,alaskensis,-1,USA,3730232,3874,2157422,0.58,2302,59.42,556,14.35,None,Gram-
637000096,Finished,Desulfovibrio_vulgaris_vulgaris_Hildenborough,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,vulgaris,Soil,-1,3773159,3642,2387614,0.63,2216,60.85,187,5.13,None,Gram-
637000097,Finished,Ehrlichia_canis_Jake,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,canis,Host,USA,1315030,985,380803,0.29,651,66.09,41,4.16,"Anemia, Ehrlichiosis",Gram-
637000098,Finished,Ehrlichia_chaffeensis_Arkansas,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,chaffeensis,Host,USA,1176248,1158,354059,0.3,674,58.2,55,4.75,"Ehrlichiosis, Human monocytic ehrlichiosis",Gram-
637000099,Finished,Ehrlichia_ruminantium_Gardel,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,ruminantium,Host,-1,1499920,992,412667,0.28,549,55.34,14,1.41,Heartwater,Gram-
637000101,Finished,Enterococcus_faecalis_V583,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecalis,"Wastewater, Intestinal microflora, Host",USA,3359974,3390,1255997,0.37,1994,58.82,15,0.44,"Urinary infection, Endocarditis, Bacteremia",Gram+
637000102,Finished,Pectobacterium_atrosepticum_SCRI1043,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,atrosepticum,Host,-1,5064019,4637,2580995,0.51,3217,69.38,147,3.17,Soft rot,Gram-
637000103,Finished,Erythrobacter_litoralis_HTCC2594,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,litoralis,"Marine, Aquatic",Sargasso Sea,3052398,3068,1925102,0.63,1696,55.28,291,9.49,None,Gram-
637000104,Finished,Escherichia_coli_O6:K15:H31_536_(UPEC),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,"Host, Human intestinal microflora",-1,4938920,4858,2495020,0.51,3033,62.43,19,0.39,"Pyelonephritis, Urinary infection",Gram-
637000105,Finished,Escherichia_coli_O6:K2:H1_CFT073_(UPEC),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,"Host, Human intestinal microflora",USA,5231428,5683,2640553,0.5,2813,49.5,26,0.46,"Urinary infection, Cystitis, Pyelonephritis",Gram-
637000107,Finished,Escherichia_coli_O157:H7_EDL933_(EHEC),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,"Human intestinal microflora, Host",-1,5620522,5633,2829256,0.5,3364,59.72,6,0.11,"Hemorrhagic colitis, Enterohaemorrhagic, Hamburger disease",Gram-
637000108,Finished,Escherichia_coli_O157:H7_Sakai_(EHEC),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,"Human intestinal microflora, Host",Japan,5594477,5556,2824325,0.5,3409,61.36,4,0.07,"Hemorrhagic colitis, Enterohaemorrhagic, Food poisoning",Gram-
637000109,Finished,Escherichia_coli_UTI89_(UPEC),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,"Human intestinal microflora, Host",-1,5179971,5398,2621763,0.51,2995,55.48,10,0.19,"Cystitis, Diarrhea",Gram-
637000110,Finished,Escherichia_coli_K12-_W3110,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,"Host, Human intestinal microflora",-1,4646332,4427,2360317,0.51,3511,79.31,-1,-1,None,Gram-
637000111,Finished,Francisella_tularensis_holarctica_LVS,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,tularensis,"Host, Fresh water",USA,1895994,2019,609612,0.32,1210,59.93,-1,-1,Tularemia,Gram-
